Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,State,Gender
rb50392,washington,f,master,2300.691547,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000170,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000002,california,f
qz44356,arizona,f,bachelor,697953.59%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000094,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000966,california,f
ai49188,nevada,f,bachelor,1288743.17%,1970-01-01 00:00:00.000048767,1970-01-01 00:00:00.000000108,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000566,california,f
ww63253,california,m,bachelor,764586.18%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000106,1/0/00,corporate auto,suv,1970-01-01 00:00:00.000000529,california,f
ga49547,washington,m,high school or below,536307.65%,1970-01-01 00:00:00.000036357,1970-01-01 00:00:00.000000068,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000017,california,f
oc83172,oregon,f,bachelor,825629.78%,1970-01-01 00:00:00.000062902,1970-01-01 00:00:00.000000069,1/0/00,personal auto,two-door car,1970-01-01 00:00:00.000000159,california,f
xz87318,oregon,f,college,538089.86%,1970-01-01 00:00:00.000055350,1970-01-01 00:00:00.000000067,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000321,california,f
cf85061,arizona,m,master,721610.03%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000101,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000363,california,f
dy87989,oregon,m,bachelor,2412750.40%,1970-01-01 00:00:00.000014072,1970-01-01 00:00:00.000000071,1/0/00,corporate auto,four-door car,1970-01-01 00:00:00.000000511,california,f
bq94931,oregon,f,college,738817.81%,1970-01-01 00:00:00.000028812,1970-01-01 00:00:00.000000093,1/0/00,special auto,four-door car,1970-01-01 00:00:00.000000425,california,f
sx51350,california,m,college,473899.20%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000067,1/0/00,personal auto,four-door car,1970-01-01 00:00:00.000000482,california,f
vq65197,california,f,college,819719.71%,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000110,1/0/00,personal auto,suv,1970-01-01 00:00:00.000000528,california,f
dp39365,california,f,master,879879.70%,1970-01-01 00:00:00.000077026,1970-01-01 00:00:00.000000110,1/2/00,corporate auto,four-door car,1970-01-01 00:00:00.000000472,california,f
sj95423,arizona,f,high school or below,881901.89%,1970-01-01 00:00:00.000099845,1970-01-01 00:00:00.000000110,1/1/00,corporate auto,suv,1970-01-01 00:00:00.000000528,california,f
il66569,california,f,college,538443.17%,1970-01-01 00:00:00.000083689,1970-01-01 00:00:00.000000070,1/2/00,corporate auto,four-door car,1970-01-01 00:00:00.000000307,california,f
